alpha,r_target,assortativity,rho_target,rho_kx,illusion_frac,N_eff,k_avg
2.1,-0.35,-0.33036893092162123,0.0,0.7728662811964934,0.139,1000,5.468
2.1,-0.35,-0.33036893092162123,0.2,0.7728662811964934,0.139,1000,5.468
2.1,-0.35,-0.33036893092162123,0.4,0.7728662811964934,0.139,1000,5.468
2.1,-0.35,-0.33036893092162123,0.6,0.7728662811964934,0.139,1000,5.468
2.1,-0.2,-0.21907765338923862,0.0,0.7728662811964934,0.112,1000,5.468
2.1,-0.2,-0.21907765338923862,0.2,0.7728662811964934,0.112,1000,5.468
2.1,-0.2,-0.21907765338923862,0.4,0.7728662811964934,0.112,1000,5.468
2.1,-0.2,-0.21907765338923862,0.6,0.7728662811964934,0.112,1000,5.468
2.1,-0.15,-0.16849635114247744,0.0,0.7728662811964934,0.093,1000,5.468
2.1,-0.15,-0.16849635114247744,0.2,0.7728662811964934,0.093,1000,5.468
2.1,-0.15,-0.16849635114247744,0.4,0.7728662811964934,0.093,1000,5.468
2.1,-0.15,-0.16849635114247744,0.6,0.7728662811964934,0.093,1000,5.468
2.1,-0.05,-0.06972937642407807,0.0,0.7728662811964934,0.07,1000,5.468
2.1,-0.05,-0.06972937642407807,0.2,0.7728662811964934,0.07,1000,5.468
2.1,-0.05,-0.06972937642407807,0.4,0.7728662811964934,0.07,1000,5.468
2.1,-0.05,-0.06972937642407807,0.6,0.7728662811964934,0.07,1000,5.468
2.4,-0.2,-0.18406794475176352,0.0,0.7890801853430713,0.08808808808808809,999,4.58058058058058
2.4,-0.2,-0.18406794475176352,0.2,0.7890801853430713,0.08808808808808809,999,4.58058058058058
2.4,-0.2,-0.18406794475176352,0.4,0.7890801853430713,0.08808808808808809,999,4.58058058058058
2.4,-0.2,-0.18406794475176352,0.6,0.7890801853430713,0.08808808808808809,999,4.58058058058058
2.4,-0.1,-0.11983503210745901,0.0,0.7890801853430713,0.08208208208208208,999,4.58058058058058
2.4,-0.1,-0.11983503210745901,0.2,0.7890801853430713,0.08208208208208208,999,4.58058058058058
2.4,-0.1,-0.11983503210745901,0.4,0.7890801853430713,0.08208208208208208,999,4.58058058058058
2.4,-0.1,-0.11983503210745901,0.6,0.7890801853430713,0.08208208208208208,999,4.58058058058058
2.4,0.0,-0.019471815762575072,0.0,0.7890801853430713,0.05905905905905906,999,4.58058058058058
2.4,0.0,-0.019471815762575072,0.2,0.7890801853430713,0.05905905905905906,999,4.58058058058058
2.4,0.0,-0.019471815762575072,0.4,0.7890801853430713,0.05905905905905906,999,4.58058058058058
2.4,0.0,-0.019471815762575072,0.6,0.7890801853430713,0.05905905905905906,999,4.58058058058058
2.4,0.2,0.18302593288485763,0.0,0.7890801853430713,0.031031031031031032,999,4.58058058058058
2.4,0.2,0.18302593288485763,0.2,0.7890801853430713,0.031031031031031032,999,4.58058058058058
2.4,0.2,0.18302593288485763,0.4,0.7890801853430713,0.031031031031031032,999,4.58058058058058
2.4,0.2,0.18302593288485763,0.6,0.7890801853430713,0.031031031031031032,999,4.58058058058058
3.1,-0.15,-0.13001951209243048,0.0,0.8131781810220555,0.057,1000,3.6
3.1,-0.15,-0.13001951209243048,0.2,0.8131781810220555,0.057,1000,3.6
3.1,-0.15,-0.13001951209243048,0.4,0.8131781810220555,0.057,1000,3.6
3.1,-0.15,-0.13001951209243048,0.6,0.8131781810220555,0.057,1000,3.6
3.1,-0.05,-0.06745922163644447,0.0,0.8131781810220555,0.044,1000,3.6
3.1,-0.05,-0.06745922163644447,0.2,0.8131781810220555,0.044,1000,3.6
3.1,-0.05,-0.06745922163644447,0.4,0.8131781810220555,0.044,1000,3.6
3.1,-0.05,-0.06745922163644447,0.6,0.8131781810220555,0.044,1000,3.6
3.1,0.0,-0.018358323417577083,0.0,0.8131781810220555,0.041,1000,3.6
3.1,0.0,-0.018358323417577083,0.2,0.8131781810220555,0.041,1000,3.6
3.1,0.0,-0.018358323417577083,0.4,0.8131781810220555,0.041,1000,3.6
3.1,0.0,-0.018358323417577083,0.6,0.8131781810220555,0.041,1000,3.6
3.1,0.3,0.281061386965062,0.0,0.8131781810220555,0.027,1000,3.6
3.1,0.3,0.281061386965062,0.2,0.8131781810220555,0.027,1000,3.6
3.1,0.3,0.281061386965062,0.4,0.8131781810220555,0.027,1000,3.6
3.1,0.3,0.281061386965062,0.6,0.8131781810220555,0.027,1000,3.6
