alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.4,0.0,0.04
2.1,-0.4,0.15,0.102
2.1,-0.4,0.3,0.134
2.1,-0.4,0.44999999999999996,0.212
2.1,-0.4,0.6,0.288
2.1,-0.1,0.0,0.028
2.1,-0.1,0.15,0.086
2.1,-0.1,0.3,0.12
2.1,-0.1,0.44999999999999996,0.138
2.1,-0.1,0.6,0.19
2.1,0.1,0.0,0.044
2.1,0.1,0.15,0.086
2.1,0.1,0.3,0.088
2.1,0.1,0.44999999999999996,0.102
2.1,0.1,0.6,0.132
2.1,0.3,0.0,0.04
2.1,0.3,0.15,0.038
2.1,0.3,0.3,0.074
2.1,0.3,0.44999999999999996,0.076
2.1,0.3,0.6,0.096
2.4,-0.45,0.0,0.026
2.4,-0.45,0.15,0.118
2.4,-0.45,0.3,0.184
2.4,-0.45,0.44999999999999996,0.266
2.4,-0.45,0.6,0.324
2.4,-0.15,0.0,0.028
2.4,-0.15,0.15,0.092
2.4,-0.15,0.3,0.124
2.4,-0.15,0.44999999999999996,0.17
2.4,-0.15,0.6,0.228
2.4,0.05,0.0,0.042
2.4,0.05,0.15,0.06
2.4,0.05,0.3,0.108
2.4,0.05,0.44999999999999996,0.134
2.4,0.05,0.6,0.146
2.4,0.15,0.0,0.046
2.4,0.15,0.15,0.06
2.4,0.15,0.3,0.096
2.4,0.15,0.44999999999999996,0.124
2.4,0.15,0.6,0.142
3.1,-0.6,0.0,0.052
3.1,-0.6,0.15,0.07
3.1,-0.6,0.3,0.108
3.1,-0.6,0.44999999999999996,0.146
3.1,-0.6,0.6,0.18
3.1,-0.25,0.0,0.036
3.1,-0.25,0.15,0.076
3.1,-0.25,0.3,0.11
3.1,-0.25,0.44999999999999996,0.142
3.1,-0.25,0.6,0.18
3.1,0.05,0.0,0.038
3.1,0.05,0.15,0.06
3.1,0.05,0.3,0.07
3.1,0.05,0.44999999999999996,0.094
3.1,0.05,0.6,0.126
3.1,0.25,0.0,0.04
3.1,0.25,0.15,0.06
3.1,0.25,0.3,0.052
3.1,0.25,0.44999999999999996,0.076
3.1,0.25,0.6,0.07
